2023-04-04 19:13:45,782 INFO    StreamThr :12980 [internal.py:wandb_internal():87] W&B internal server running at pid: 12980, started at: 2023-04-04 19:13:45.781326
2023-04-04 19:13:45,785 DEBUG   HandlerThread:12980 [handler.py:handle_request():144] handle_request: status
2023-04-04 19:13:45,787 INFO    WriterThread:12980 [datastore.py:open_for_write():85] open: C:\Users\PAVILION 15-DW001LA\Documents\Tesis\Códigos\RNAs\Red_Densa\wandb\run-20230404_191345-6m0evhdw\run-6m0evhdw.wandb
2023-04-04 19:13:45,791 DEBUG   SenderThread:12980 [sender.py:send():336] send: header
2023-04-04 19:13:45,844 DEBUG   SenderThread:12980 [sender.py:send():336] send: run
2023-04-04 19:13:46,167 DEBUG   HandlerThread:12980 [handler.py:handle_request():144] handle_request: check_version
2023-04-04 19:13:46,172 INFO    SenderThread:12980 [dir_watcher.py:__init__():219] watching files in: C:\Users\PAVILION 15-DW001LA\Documents\Tesis\Códigos\RNAs\Red_Densa\wandb\run-20230404_191345-6m0evhdw\files
2023-04-04 19:13:46,172 INFO    SenderThread:12980 [sender.py:_start_run_threads():1078] run started: 6m0evhdw with start time 1680657225.782324
2023-04-04 19:13:46,172 DEBUG   SenderThread:12980 [sender.py:send_request():363] send_request: summary_record
2023-04-04 19:13:46,173 INFO    SenderThread:12980 [sender.py:_save_file():1332] saving file wandb-summary.json with policy end
2023-04-04 19:13:46,173 DEBUG   SenderThread:12980 [sender.py:send_request():363] send_request: check_version
2023-04-04 19:13:46,365 DEBUG   HandlerThread:12980 [handler.py:handle_request():144] handle_request: run_start
2023-04-04 19:13:46,382 DEBUG   HandlerThread:12980 [system_info.py:__init__():31] System info init
2023-04-04 19:13:46,382 DEBUG   HandlerThread:12980 [system_info.py:__init__():46] System info init done
2023-04-04 19:13:46,383 INFO    HandlerThread:12980 [system_monitor.py:start():183] Starting system monitor
2023-04-04 19:13:46,384 INFO    SystemMonitor:12980 [system_monitor.py:_start():147] Starting system asset monitoring threads
2023-04-04 19:13:46,384 INFO    HandlerThread:12980 [system_monitor.py:probe():204] Collecting system info
2023-04-04 19:13:46,390 INFO    SystemMonitor:12980 [interfaces.py:start():187] Started cpu monitoring
2023-04-04 19:13:46,390 DEBUG   HandlerThread:12980 [system_info.py:probe():195] Probing system
2023-04-04 19:13:46,390 INFO    SystemMonitor:12980 [interfaces.py:start():187] Started disk monitoring
2023-04-04 19:13:46,391 INFO    SystemMonitor:12980 [interfaces.py:start():187] Started memory monitoring
2023-04-04 19:13:46,406 INFO    SystemMonitor:12980 [interfaces.py:start():187] Started network monitoring
2023-04-04 19:13:46,408 DEBUG   HandlerThread:12980 [system_info.py:_probe_git():180] Probing git
2023-04-04 19:13:46,507 DEBUG   HandlerThread:12980 [system_info.py:_probe_git():188] Probing git done
2023-04-04 19:13:46,508 DEBUG   HandlerThread:12980 [system_info.py:probe():240] Probing system done
2023-04-04 19:13:46,508 DEBUG   HandlerThread:12980 [system_monitor.py:probe():213] {'os': 'Windows-10-10.0.22000-SP0', 'python': '3.9.5', 'heartbeatAt': '2023-04-05T01:13:46.391065', 'startedAt': '2023-04-05T01:13:45.763641', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': 'C:\\Users\\PAVILION 15-DW001LA\\Documents\\Tesis\\Códigos\\RNAs\\Red_Densa\\RNA_densa.py', 'codePath': 'RNAs\\Red_Densa\\RNA_densa.py', 'git': {'remote': 'https://github.com/Eusoj25/Tesis.git', 'commit': 'dee2532ae4a69656bfb694530a02c220b8fbf363'}, 'email': '108889462+JosueRH25@users.noreply.github.com', 'root': 'C:/Users/PAVILION 15-DW001LA/Documents/Tesis/Códigos', 'host': 'LAPTOP-8SNF18AB', 'username': 'PAVILION 15-DW001LA', 'executable': 'C:\\Users\\PAVILION 15-DW001LA\\miniconda3\\python.exe', 'cpu_count': 4, 'cpu_count_logical': 8, 'cpu_freq': {'current': 1600.0, 'min': 0.0, 'max': 1800.0}, 'cpu_freq_per_core': [{'current': 1600.0, 'min': 0.0, 'max': 1800.0}], 'disk': {'total': 237.24120712280273, 'used': 156.46559524536133}, 'memory': {'total': 7.888965606689453}}
2023-04-04 19:13:46,508 INFO    HandlerThread:12980 [system_monitor.py:probe():214] Finished collecting system info
2023-04-04 19:13:46,508 INFO    HandlerThread:12980 [system_monitor.py:probe():217] Publishing system info
2023-04-04 19:13:46,508 DEBUG   HandlerThread:12980 [system_info.py:_save_pip():51] Saving list of pip packages installed into the current environment
2023-04-04 19:13:46,509 DEBUG   HandlerThread:12980 [system_info.py:_save_pip():67] Saving pip packages done
2023-04-04 19:13:46,509 DEBUG   HandlerThread:12980 [system_info.py:_save_conda():74] Saving list of conda packages installed into the current environment
